cd_year,cd_avg_temp,gd_avg_temp
1832,18.94,7.45
1833,19.93,8.01
1834,19.21,8.15
1835,18.62,7.39
1836,18.84,7.70
1837,18.28,7.38
1838,18.72,7.51
1839,18.52,7.63
1840,19.20,7.80
1841,18.89,7.69
1842,19.32,8.02
1843,19.46,8.17
1851,19.44,8.18
1852,19.60,8.10
1853,19.61,8.04
1854,19.70,8.21
1855,19.70,8.11
1856,18.79,8.00
1857,19.39,7.76
1858,18.39,8.10
1859,19.05,8.25
1860,19.73,7.96
1861,18.99,7.85
1862,19.01,7.56
1863,18.91,8.11
1864,18.99,7.98
1865,18.95,8.18
1866,19.10,8.29
1867,19.21,8.44
1868,20.16,8.25
1869,20.01,8.43
1870,20.03,8.20
1871,19.65,8.12
1872,19.63,8.19
1873,19.84,8.35
1874,19.07,8.43
1875,18.76,7.86
1876,19.00,8.08
1877,19.83,8.54
1878,20.02,8.83
1879,18.78,8.17
1880,19.73,8.12
1881,19.23,8.27
1882,18.62,8.13
1883,18.93,7.98
1884,18.86,7.77
1885,19.80,7.92
1886,18.93,7.95
1887,19.45,7.91
1888,20.12,8.09
1889,20.03,8.32
1890,19.17,7.97
1891,19.56,8.02
1892,19.17,8.07
1893,18.49,8.06
1894,19.48,8.16
1895,19.43,8.15
1896,19.45,8.21
1897,19.51,8.29
1898,19.54,8.18
1899,20.09,8.40
1900,19.71,8.50
1901,19.15,8.54
1902,19.87,8.30
1903,19.44,8.22
1904,19.02,8.09
1905,19.61,8.23
1906,19.49,8.38
1907,19.18,7.95
1908,19.22,8.19
1909,18.98,8.18
1910,19.15,8.22
1911,19.02,8.18
1912,19.32,8.17
1913,19.72,8.30
1914,20.37,8.59
1915,20.12,8.59
1916,19.53,8.23
1917,18.43,8.02
1918,19.24,8.13
1919,19.88,8.38
1920,19.56,8.36
1921,19.37,8.57
1922,19.85,8.41
1923,19.58,8.42
1924,19.13,8.51
1925,19.52,8.53
1926,19.78,8.73
1927,19.56,8.52
1928,20.08,8.63
1929,19.70,8.24
1930,20.09,8.63
1931,19.35,8.72
1932,20.18,8.71
1933,18.97,8.34
1934,19.87,8.63
1935,19.73,8.52
1936,20.01,8.55
1937,19.50,8.70
1938,19.83,8.86
1939,19.93,8.76
1940,20.35,8.76
1941,20.18,8.77
1942,19.68,8.73
1943,19.63,8.76
1944,19.99,8.85
1945,19.57,8.58
1946,19.91,8.68
1947,19.25,8.80
1948,19.64,8.75
1949,19.40,8.59
1950,19.85,8.37
1951,19.32,8.63
1952,19.91,8.64
1953,19.96,8.87
1954,20.20,8.56
1955,19.55,8.63
1956,19.26,8.28
1957,19.67,8.73
1958,20.33,8.77
1959,20.49,8.73
1960,19.68,8.58
1961,20.57,8.80
1962,19.09,8.75
1963,20.40,8.86
1964,19.25,8.41
1965,20.00,8.53
1966,20.13,8.60
1967,20.16,8.70
1968,19.16,8.52
1969,20.14,8.60
1970,20.06,8.70
1971,19.78,8.60
1972,20.13,8.50
1973,20.21,8.95
1974,19.67,8.47
1975,19.82,8.74
1976,19.48,8.35
1977,20.84,8.85
1978,19.94,8.69
1979,19.68,8.73
1980,20.28,8.98
1981,19.90,9.17
1982,19.95,8.64
1983,20.06,9.03
1984,20.56,8.69
1985,20.07,8.66
1986,20.49,8.83
1987,20.34,8.99
1988,19.93,9.20
1989,19.66,8.92
1990,20.29,9.23
1991,20.13,9.18
1992,20.21,8.84
1993,20.49,8.87
1994,20.77,9.04
1995,20.61,9.35
1996,20.18,9.04
1997,20.77,9.20
1998,20.71,9.52
1999,20.04,9.29
2000,20.32,9.20
2001,20.96,9.41
2002,21.30,9.57
2003,20.76,9.53
2004,20.05,9.32
2005,20.78,9.70
2006,20.60,9.53
2007,20.93,9.73
2008,20.22,9.43
2009,20.78,9.51
2010,20.72,9.70
2011,20.33,9.52
2012,21.02,9.51
2013,20.07,9.61
