year,city,country,avg_temp
1832,Rio De Janeiro,Brazil,23.05
1833,Rio De Janeiro,Brazil,24.11
1834,Rio De Janeiro,Brazil,23.27
1835,Rio De Janeiro,Brazil,22.73
1836,Rio De Janeiro,Brazil,22.91
1837,Rio De Janeiro,Brazil,22.29
1838,Rio De Janeiro,Brazil,22.81
1839,Rio De Janeiro,Brazil,22.54
1840,Rio De Janeiro,Brazil,23.32
1841,Rio De Janeiro,Brazil,22.97
1842,Rio De Janeiro,Brazil,23.41
1843,Rio De Janeiro,Brazil,23.55
1851,Rio De Janeiro,Brazil,23.53
1852,Rio De Janeiro,Brazil,23.74
1853,Rio De Janeiro,Brazil,23.76
1854,Rio De Janeiro,Brazil,23.83
1855,Rio De Janeiro,Brazil,23.89
1856,Rio De Janeiro,Brazil,22.83
1857,Rio De Janeiro,Brazil,23.46
1858,Rio De Janeiro,Brazil,22.37
1859,Rio De Janeiro,Brazil,23.04
1860,Rio De Janeiro,Brazil,23.91
1861,Rio De Janeiro,Brazil,23.04
1862,Rio De Janeiro,Brazil,23.04
1863,Rio De Janeiro,Brazil,22.95
1864,Rio De Janeiro,Brazil,23.02
1865,Rio De Janeiro,Brazil,22.89
1866,Rio De Janeiro,Brazil,23.10
1867,Rio De Janeiro,Brazil,23.26
1868,Rio De Janeiro,Brazil,24.32
1869,Rio De Janeiro,Brazil,24.20
1870,Rio De Janeiro,Brazil,24.22
1871,Rio De Janeiro,Brazil,23.84
1872,Rio De Janeiro,Brazil,23.75
1873,Rio De Janeiro,Brazil,23.94
1874,Rio De Janeiro,Brazil,23.23
1875,Rio De Janeiro,Brazil,22.85
1876,Rio De Janeiro,Brazil,23.05
1877,Rio De Janeiro,Brazil,23.80
1878,Rio De Janeiro,Brazil,24.30
1879,Rio De Janeiro,Brazil,22.84
1880,Rio De Janeiro,Brazil,24.01
1881,Rio De Janeiro,Brazil,23.29
1882,Rio De Janeiro,Brazil,22.65
1883,Rio De Janeiro,Brazil,22.98
1884,Rio De Janeiro,Brazil,22.85
1885,Rio De Janeiro,Brazil,23.75
1886,Rio De Janeiro,Brazil,22.94
1887,Rio De Janeiro,Brazil,23.49
1888,Rio De Janeiro,Brazil,23.82
1889,Rio De Janeiro,Brazil,24.17
1890,Rio De Janeiro,Brazil,23.38
1891,Rio De Janeiro,Brazil,23.55
1892,Rio De Janeiro,Brazil,23.40
1893,Rio De Janeiro,Brazil,22.68
1894,Rio De Janeiro,Brazil,23.62
1895,Rio De Janeiro,Brazil,23.36
1896,Rio De Janeiro,Brazil,23.35
1897,Rio De Janeiro,Brazil,23.31
1898,Rio De Janeiro,Brazil,23.54
1899,Rio De Janeiro,Brazil,23.95
1900,Rio De Janeiro,Brazil,23.48
1901,Rio De Janeiro,Brazil,23.07
1902,Rio De Janeiro,Brazil,23.99
1903,Rio De Janeiro,Brazil,23.73
1904,Rio De Janeiro,Brazil,23.17
1905,Rio De Janeiro,Brazil,23.84
1906,Rio De Janeiro,Brazil,23.74
1907,Rio De Janeiro,Brazil,23.36
1908,Rio De Janeiro,Brazil,23.57
1909,Rio De Janeiro,Brazil,23.33
1910,Rio De Janeiro,Brazil,23.31
1911,Rio De Janeiro,Brazil,23.36
1912,Rio De Janeiro,Brazil,23.48
1913,Rio De Janeiro,Brazil,23.72
1914,Rio De Janeiro,Brazil,24.28
1915,Rio De Janeiro,Brazil,24.06
1916,Rio De Janeiro,Brazil,23.52
1917,Rio De Janeiro,Brazil,22.62
1918,Rio De Janeiro,Brazil,23.26
1919,Rio De Janeiro,Brazil,23.73
1920,Rio De Janeiro,Brazil,23.64
